name,ply,rolls,sheets,uses,price,cost/use,url,
"morrisons coconut oil",3,4,160,213.33333333333334,1.9,0.00890625,https://www.amazon.co.uk/dp/B08533ZSFG,
"morrisons quilted",3,9,160,480,3.94,0.008208333333333333,https://www.amazon.co.uk/dp/B01LQ6DV7K,
"mother earth",3,12,300,1200,17.99,0.014991666666666665,https://www.amazon.co.uk/dp/B08D3JNDTL,
"nicky elite",3,24,168,1344,10.76,0.008005952380952381,https://www.amazon.co.uk/dp/B0BMW341NW,
"nicky fashion",4,36,165,2970,31.36,0.01055892255892256,https://www.amazon.co.uk/dp/B07774XR8P,
"nicky supreme",3,20,160,1066.6666666666667,10,0.009375,https://www.amazon.co.uk/dp/B0BXF7713C,
oceans,3,45,180,2700,24.99,0.009255555555555555,https://www.amazon.co.uk/dp/B09KVMV168,
"oh so soft aloe vera",3,9,160,480,4.25,0.008854166666666666,https://groceries.morrisons.com/products/morrisons-aloe-vera-toilet-tissue-303260011,
"oh so soft aloe vera",3,4,160,213.33333333333334,2.6,0.0121875,https://groceries.morrisons.com/products/morrisons-aloe-vera-toilet-tissue-303259011,
"oh so soft coconut oil",3,9,160,480,4.25,0.008854166666666666,https://groceries.morrisons.com/products/morrisons-coconut-toilet-tissue-489921011,
"oh so soft coconut oil",3,4,160,213.33333333333334,2.6,0.0121875,https://groceries.morrisons.com/products/morrisons-fresh-tropical-with-coconut-oil-toilet-tissue-489920011,
"oh so soft quilted",3,16,160,853.3333333333334,6.85,0.008027343749999999,https://groceries.morrisons.com/products/morrisons-quilted-toilet-rolls-565847011,
"oh so soft quilted",3,9,160,480,4.25,0.008854166666666666,https://groceries.morrisons.com/products/morrisons-quilted-comfort-toilet-tissue-303262011,
"oh so soft quilted",3,4,160,213.33333333333334,2.6,0.0121875,https://groceries.morrisons.com/products/morrisons-quilted-comfort-toilet-tissue-4-303263011,
"oh so soft shea butter",3,9,160,480,4.25,0.008854166666666666,https://groceries.morrisons.com/products/morrisons-shea-butter-toilet-tissue-303258011,
"oh so soft shea butter",3,4,160,213.33333333333334,2.6,0.0121875,https://groceries.morrisons.com/products/morrisons-shea-butter-toilet-tissue-4-roll-303261011,
"presto! Eco",3,45,200,3000,29.93,0.009976666666666667,https://www.amazon.co.uk/dp/B08JDBBL9T,
"presto! Eco",3,45,200,3000,29.93,0.009976666666666667,https://www.amazon.co.uk/dp/B08JDBBL9T,
"presto! Quilted",3,18,200,1200,11.15,0.009291666666666667,https://www.amazon.co.uk/dp/B08VFXYYSR,
"presto! Quilted gem pattern",3,45,200,3000,27.15,0.009049999999999999,https://www.amazon.co.uk/dp/B07PWG318D,
"presto! Quilted pattern b",4,48,160,3840,35.08,0.009135416666666667,https://www.amazon.co.uk/dp/B07NMDMBR4,
"qpout 60",3,1,160,53.333333333333336,7.69,0.1441875,https://www.amazon.co.uk/dp/B0C65PB6QN,
quilted,3,4,135,180,7.39,0.041055555555555553,https://www.amazon.co.uk/dp/B09SZSJYS7,
"regina chamomile",3,4,152,202.66666666666666,3.5,0.017269736842105265,https://www.sainsburys.co.uk/gol-ui/product/regina-chamomile-toilet-tissue-4x160-sheets,
"regina seriously soft",3,20,175,1166.6666666666667,13.33,0.011425714285714286,https://www.amazon.co.uk/dp/B07T3SBLHQ,
"renova 100% recycled",3,9,180,540,7.91,0.014648148148148148,https://www.amazon.co.uk/dp/B08BJQD4RN,
"renova black",3,6,140,280,6.63,0.023678571428571427,https://www.amazon.co.uk/dp/B08GGQDJF8,
"renova black",3,6,140,280,7.59,0.027107142857142857,https://www.amazon.co.uk/dp/B00XVKW12G,
