name,ply,rolls,sheets,uses,multiQuan,multiDisc,cost,delivery,useCost,useCostDisc,url
tesco luxury soft quilted,3,6,240,480,1,1,3.65,4,0.0159375,0.0159375,https://www.tesco.com/groceries/en-GB/products/312092758
tesco luxury soft quilted,3,4,160,213,1,1,1.79,2.99,0.02244131455399061,0.02244131455399061,https://www.tesco.com/groceries/en-GB/products/297444849
tork,3,8,250,666,1,1,9.99,0,0.015000000000000001,0.015000000000000001,https://www.amazon.co.uk/dp/B000MQHNDY
valentine,3,2,170,113,1,1,12.99,0,0.11495575221238938,0.11495575221238938,https://www.amazon.co.uk/dp/B082NP6GHW
velvet,3,24,150,1200,1,1,8,4,0.01,0.01,spar
velvet,3,24,150,1200,4,0.95,8.5,0,0.007083333333333333,0.006729166666666666,https://www.amazon.co.uk/dp/B08HLGKP9J
waitfor multicolor 2,3,1,170,56,1,1,5.4799999999999995,0,0.09785714285714285,0.09785714285714285,https://www.amazon.co.uk/dp/B085HSLQ41
wanshop,3,1,170,56,1,1,4.64,0,0.08285714285714285,0.08285714285714285,https://www.amazon.co.uk/dp/B07JFK9GXD
who gives a crap bamboo,3,48,400,6400,1,1,46.99,0,0.007342187500000001,0.007342187500000001,https://www.amazon.co.uk/dp/B07MB5ZZ2Q
who gives a crap recycled,3,6,360,720,1,1,6.25,0,0.008680555555555556,0.008680555555555556,https://www.amazon.co.uk/dp/B07PVGB19S
Sainsbury's Super Soft quilted,3,4,170,226,1,1,2,0,0.008849557522123894,0.008849557522123894,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-super-soft-quilted-toilet-tissue-4x170-sheets
andrex ultimate quilts aloe,3,9,155,465,1,1,6.5,0,0.013978494623655914,0.013978494623655914,https://www.sainsburys.co.uk/gol-ui/product/andrex-ultimate-quilts-aloe-scented-toilet-rolls-x9
andrex ultimate quilts mega,3,9,235,705,1,1,7.5,0,0.010638297872340425,0.010638297872340425,https://www.sainsburys.co.uk/gol-ui/product/andrex-supreme-quilts-toilet-tissue-mega-rolls-x9
andrex ultimate quilts,3,16,160,853,1,1,11.5,0,0.013481828839390387,0.013481828839390387,https://www.sainsburys.co.uk/gol-ui/product/andrex-toilet-tissues--quilted-x16
cushelle quilted 50% more sheets,3,12,236,944,1,1,10,0,0.01059322033898305,0.01059322033898305,https://www.sainsburys.co.uk/gol-ui/product/cushelle-quilted-toilet-rolls-50-more-sheets-x12
andrex ultimate quilts,3,4,160,213,1,1,3.25,0,0.015258215962441314,0.015258215962441314,https://www.sainsburys.co.uk/gol-ui/product/andrex-quilts-toilet-tissue-x4-rolls
Sainsbury's Super Soft quilted,3,9,170,510,1,1,3.5,4,0.014705882352941176,0.014705882352941176,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-super-soft-quilted-toilet-tissue-x9
Sainsbury's Super Soft aloe vera,3,9,170,510,1,1,4,0,0.00784313725490196,0.00784313725490196,https://www.sainsburys.co.uk/gol-ui/product/sainsburys-luxury-toilet-tissue--aloe-9x170-sheets
